,presynaptic_neuron,postsynaptic_neuron,actual_sign,source,target,pseudoinverse_predicted_sign,regularized_predicted_sign,heavily_regularized_sign
127,DVA,AVAL,1.0,106,51,-0.1865983062080165,0.21620170744916947,5.923995316138135e-07
128,DVA,AVAR,1.0,106,52,-0.21868888766084402,0.235909140187796,6.397994941365923e-07
129,DVA,SAADR,-1.0,106,217,0.05309468622044443,0.002087732207751813,2.9499976675569552e-08
130,DVA,SAAVL,-1.0,106,218,0.255900818255879,0.014499875060097374,5.80999540627319e-08
131,DVA,SAAVR,-1.0,106,219,0.26076275237202656,0.021801709160978313,7.209994299351082e-08
132,DVB,DA08,-1.0,107,91,0.0,0.0,0.0
133,DVC,RIBL,1.0,108,184,-0.021923203643708596,-0.03768220854559045,-5.119995951827672e-08
134,DVC,RIBR,1.0,108,185,-0.20917505207149545,-0.019436087804916947,-2.2799981972982607e-08
135,IL2VR,AVAL,1.0,131,51,-0.03823860816096525,-0.00801473094580743,-3.4999972326946978e-09
136,OLLL,RIBL,1.0,146,184,-0.022943944382720204,-0.03563238251784466,-5.669995516965415e-08
137,OLLR,RIBR,1.0,147,185,-0.169109236122374,-0.05243997605529943,-7.149994346790603e-08
138,PLNL,SAADL,-1.0,164,216,0.009028929793826336,-0.0004801138160274436,-4.999996046706716e-10
139,PLNR,SAADR,-1.0,165,217,-0.11285676234660323,-0.01138412524197216,-1.5099988061054283e-08
140,PLNR,SAAVL,-1.0,165,218,-0.04889362633953032,-0.0068796074821050775,-8.999992884072089e-09
141,PVCL,AVAL,1.0,167,51,-0.3981552815672365,0.3102318514092794,7.295994231354467e-07
142,PVCL,AVAR,1.0,167,52,-0.4084667471333351,0.31949976213015535,7.705993907184414e-07
143,PVCL,SIBDL,1.0,167,229,-0.12827776418787645,0.01285044421246515,2.559997975913838e-08
144,PVCL,SIBVL,1.0,167,231,-0.17931759864268615,0.05743651083643457,1.452998851172969e-07
145,PVCR,AVAL,1.0,168,51,-0.2381990594201218,0.23700063421404463,5.86999535883371e-07
146,PVCR,AVAR,1.0,168,52,-0.37927948273834133,0.23962565009042727,6.138995146146528e-07
147,PVNL,AVAL,1.0,172,51,-0.03806245710049201,0.15526046028602536,3.4229972935754146e-07
148,PVNR,AVAL,1.0,173,51,-0.3099361791422991,0.14231132719270717,3.1779974872867903e-07
149,PVPL,AVAL,1.0,174,51,0.023455184124376357,0.2770702558608418,6.015995243397513e-07
150,PVPL,AVAR,1.0,174,52,-0.04560629835092039,0.2918252710249419,6.42999491606483e-07
151,PVPR,AVAL,1.0,175,51,-0.08318420804116074,0.34363363512463874,7.274994247958273e-07
152,PVPR,AVAR,1.0,175,52,-0.1285949929435249,0.35835048426459853,7.744993876348707e-07
153,RIAL,RIAR,1.0,182,183,0.07170763169548977,0.2577101739724399,3.5619971836738647e-07
154,RIAL,RIBL,1.0,182,184,-0.08501086602338105,-0.06101716544767587,-8.759993073830165e-08
155,RIAR,RIAL,1.0,183,182,0.1432687514945283,0.24442424314605382,3.539997201068357e-07
156,RIAR,RIAR,1.0,183,183,0.11014391196001169,0.25622422534355743,3.5519971915804533e-07
157,RIAR,RIBR,1.0,183,185,-0.2346959363046649,-0.07037405370668592,-9.25999267850084e-08
