0,0,no pred
0,6,no pred
0,10,complex
0,12,+
0,13,+
0,51,+
0,52,+
0,53,+
0,54,+
0,55,+
0,56,+
0,57,+
0,65,+
0,174,no pred
0,186,+
0,187,+
0,188,no pred
0,194,complex
0,240,+
0,243,+
0,247,no pred
1,12,+
1,13,+
1,44,no pred
1,52,+
1,53,+
1,54,+
1,55,+
1,56,+
1,57,+
1,64,+
1,178,no pred
1,190,+
1,195,complex
1,199,no pred
1,239,+
1,248,no pred
1,250,+
2,0,no pred
2,3,no pred
2,23,no pred
2,51,no pred
2,52,no pred
2,55,no pred
2,57,no pred
2,62,no pred
2,68,no pred
2,76,no pred
2,80,no pred
2,109,no pred
2,122,no pred
2,128,no pred
2,146,no pred
2,182,no pred
2,189,no pred
2,191,no pred
2,192,no pred
2,193,no pred
2,198,no pred
2,199,no pred
2,202,no pred
2,208,no pred
2,212,no pred
2,214,no pred
2,215,no pred
2,217,no pred
2,226,no pred
2,232,no pred
2,234,no pred
2,235,no pred
2,245,no pred
2,265,no pred
3,1,no pred
3,2,no pred
3,26,no pred
3,51,no pred
3,52,no pred
3,56,no pred
3,58,no pred
3,65,no pred
3,81,no pred
3,83,no pred
3,109,no pred
3,110,no pred
3,123,no pred
3,129,no pred
3,147,no pred
3,183,no pred
3,191,no pred
3,192,no pred
3,202,no pred
3,203,no pred
3,213,no pred
3,240,no pred
3,246,no pred
3,248,no pred
4,0,no pred
4,6,no pred
4,8,no pred
4,10,no pred
4,12,-
4,13,-
4,20,-
4,49,no pred
4,70,no pred
4,73,no pred
4,182,-
4,184,+
4,191,complex
4,192,complex
4,196,no pred
4,198,-
4,233,-
4,235,-
4,239,complex
4,247,-
5,1,no pred
5,5,no pred
5,9,no pred
5,19,+
5,21,-
5,44,no pred
5,50,no pred
5,62,no pred
5,71,no pred
5,73,no pred
5,74,no pred
5,151,no pred
5,175,no pred
5,183,-
5,192,complex
5,193,-
5,196,no pred
5,234,-
5,236,-
5,248,-
5,252,no pred
6,0,no pred
6,10,complex
6,12,+
6,22,no pred
6,39,no pred
6,40,no pred
6,41,no pred
6,43,no pred
6,51,+
6,52,+
6,53,+
6,55,+
6,56,+
6,64,+
6,65,+
6,70,no pred
6,72,no pred
6,150,no pred
6,182,complex
6,191,+
6,196,+
6,235,no pred
7,1,no pred
7,7,no pred
7,11,complex
7,13,+
7,40,no pred
7,44,no pred
7,52,+
7,53,+
7,54,+
7,55,+
7,56,+
7,64,+
7,65,+
7,73,no pred
